순번,관리기관명,소재지도로명주소,설치목적구분,카메라대수,우편번호,행정동명
397,관악구청,솔밭로5길,다목적,4,8741,행운동
398,관악구청,남부순환로247다길,다목적,1,8801,행운동
399,관악구청,남부순환로247길,다목적,4,8801,행운동
400,관악구청,행운1나길,다목적,1,8737,행운동
401,관악구청,보라매로6길,다목적,1,8709,보라매동
402,관악구청,국회단지19길,다목적,3,8713,은천동
403,관악구청,청림6길,다목적,1,8734,청림동
404,관악구청,난곡로26길,다목적,1,8846,삼성동
405,관악구청,난곡로26길,다목적,4,8846,삼성동
406,관악구청,양지12길,다목적,4,8846,삼성동
407,관악구청,봉천로21라길,다목적,1,8720,보라매동
408,관악구청,양녕로16길,다목적,1,8724,은천동
409,관악구청,구암5가길,다목적,1,8724,성현동
410,관악구청,남부순환로1561-1,다목적,1,NA,신사동
411,관악구청,신림로44길,다목적,1,8783,서원동
412,관악구청,남부순환로240길,다목적,3,8792,낙성대동
413,관악구청,관악로14가길,다목적,5,8789,낙성대동
414,관악구청,봉천로522-8,다목적,5,NA,낙성대동
415,관악구청,낙성대로3길,다목적,1,8799,낙성대동
416,관악구청,난향길,다목적,2,8859,난향동
417,관악구청,난향10길,다목적,4,8859,난향동
418,관악구청,남현7길,다목적,1,8807,남현동
419,관악구청,남현7길,다목적,1,8807,남현동
420,관악구청,남현길,다목적,4,8806,남현동
421,관악구청,남현3길,다목적,1,8806,남현동
422,관악구청,대학21길,다목적,1,8818,대학동
423,관악구청,신림로11길,다목적,1,8817,대학동
424,관악구청,신림로11길,다목적,4,8817,대학동
425,관악구청,대학14길,다목적,1,8820,대학동
426,관악구청,대학길,다목적,2,8818,대학동
427,관악구청,난곡로235,다목적,1,NA,미성동
428,관악구청,난곡로235,다목적,1,NA,미성동
429,관악구청,당곡2길,다목적,6,8711,보라매동
430,관악구청,봉천로243,다목적,1,NA,보라매동
431,관악구청,봉천로21길,다목적,1,8719,보라매동
432,관악구청,봉천로21길,다목적,1,8719,보라매동
433,관악구청,봉천로23길,다목적,1,8718,보라매동
434,관악구청,양지길,다목적,5,8846,삼성동
435,관악구청,양지길,다목적,3,8846,삼성동
436,관악구청,약수암1길,다목적,4,8823,삼성동
437,관악구청,신림로29길,다목적,1,8845,서림동
438,관악구청,복은2길,다목적,5,8837,서림동
439,관악구청,서림3길,다목적,1,8840,서림동
440,관악구청,복은8길,다목적,4,8834,서림동
441,관악구청,서림7길,다목적,1,8840,서림동
442,관악구청,쑥고개로2가길,다목적,1,8829,서림동
443,관악구청,서원3길,다목적,5,8844,서원동
444,관악구청,남부순환로200다길,다목적,5,8780,서원동
445,관악구청,남부순환로190길,다목적,3,8779,서원동
446,관악구청,남부순환로190가길,다목적,4,8779,서원동
447,관악구청,신림로44나길,다목적,1,8783,서원동
448,관악구청,신림로44가길,다목적,1,8783,서원동
449,관악구청,신림로294,다목적,1,NA,서원동
450,관악구청,남부순환로184길,다목적,4,8777,서원동
451,관악구청,남부순환로180길,다목적,1,8777,서원동
452,관악구청,은천로21길,다목적,4,8729,성현동
453,관악구청,구암5가길,다목적,3,8724,성현동
454,관악구청,신림로71길,다목적,1,8707,신림동
455,관악구청,남부순환로1623,다목적,1,NA,신림동
456,관악구청,신림동,다목적,5,NA,신림동
457,관악구청,신사로26길,다목적,1,8703,신사동
458,관악구청,조원로171,다목적,5,NA,신사동
459,관악구청,관천로77,다목적,1,NA,신사동
460,관악구청,문성로32길,다목적,1,8843,신원동
461,관악구청,문성로38길,다목적,3,8843,신원동
462,관악구청,문성로26길,다목적,1,8842,신원동
463,관악구청,남부순환로170길,다목적,1,8774,신원동
464,관악구청,신림로53가길,다목적,1,8775,신원동
465,관악구청,문성로231,다목적,1,NA,신원동
466,관악구청,신림로285,다목적,1,NA,신원동
467,관악구청,양녕로19-7,다목적,1,NA,은천동
468,관악구청,국회단지11길,다목적,5,8713,은천동
469,관악구청,인헌23길,다목적,5,8800,인헌동
470,관악구청,인헌동,다목적,1,NA,인헌동
471,관악구청,낙성대역16길,다목적,1,8797,인헌동
472,관악구청,남부순환로248길,다목적,5,8793,인헌동
473,관악구청,인헌16나길,다목적,3,8800,인헌동
474,관악구청,난곡로65길,다목적,5,8767,조원동
475,관악구청,시흥대로162길,다목적,1,8768,조원동
476,관악구청,시흥대로158가길,다목적,3,8768,조원동
477,관악구청,조원중앙로59-5,다목적,1,NA,조원동
478,관악구청,양녕로6길,다목적,1,8746,중앙동
479,관악구청,관악로211,다목적,4,NA,중앙동
480,관악구청,양녕로6다길,다목적,4,8746,중앙동
481,관악구청,남부순환로1814,다목적,1,NA,청룡동
482,관악구청,청림3마길,다목적,1,8732,청림동
483,관악구청,청림5길,다목적,1,8734,청림동
484,관악구청,행운1다길,다목적,5,8736,행운동
485,관악구청,행운6길,다목적,5,8741,행운동
486,관악구청,행운9길,다목적,1,8740,행운동
487,관악구청,남부순환로249길,다목적,1,8802,행운동
488,관악구청,남부순환로1929,다목적,1,NA,행운동
489,관악구청,행운7길,다목적,1,8740,행운동
490,관악구청,행운4길,다목적,5,8741,행운동
491,관악구청,남부순환로247길,다목적,1,8801,행운동
492,관악구청,남부순환로251길,다목적,1,8802,행운동
493,관악구청,법원단지10길,다목적,5,8853,난곡동
494,관악구청,법원단지30길,다목적,5,8853,난곡동
495,관악구청,난곡로34길,다목적,3,8854,난곡동
496,관악구청,난곡로10길,다목적,3,8860,난향동
497,관악구청,난곡로15길,다목적,1,8858,난곡동
498,관악구청,난곡로31길,다목적,2,8858,난곡동
499,관악구청,미성7길,다목적,1,8865,미성동
500,관악구청,난곡로64가길,다목적,5,8772,미성동
501,관악구청,난곡로42길,다목적,3,8849,미성동
502,관악구청,난곡로215,다목적,2,NA,미성동
503,관악구청,문성로16가길,다목적,3,8864,미성동
504,관악구청,난곡로41길,다목적,2,8864,미성동
505,관악구청,장군봉7길,다목적,5,8784,청룡동
506,관악구청,장군봉길,다목적,4,8782,청룡동
507,관악구청,쑥고개로16길,다목적,5,8831,청룡동
508,관악구청,관악로11길,다목적,5,8832,청룡동
509,관악구청,쑥고개로22길,다목적,4,8832,청룡동
510,관악구청,복은길,다목적,1,8835,서림동
511,관악구청,청룡16길,다목적,1,8830,청룡동
512,관악구청,관악로6길,다목적,1,8791,낙성대동
513,관악구청,은천로37길,다목적,3,8728,성현동
