"","관리기관명","소재지도로명주소","설치목적구분","카메라대수","우편번호","행정동명"
"201","관악구청","서림동","다목적",1,NA,"서림동"
"202","관악구청","삼성동","다목적",1,NA,"삼성동"
"203","관악구청","대학동","다목적",1,NA,"대학동"
"204","관악구청","남부순환로2076(남현예술공원)","다목적",1,NA,NA
"205","관악구청","남부순환로2076(남현예술공원)","다목적",1,NA,NA
"206","관악구청","대학동","다목적",1,NA,"대학동"
"207","관악구청","대학동","다목적",1,NA,"대학동"
"208","관악구청","대학동","다목적",1,NA,"대학동"
"209","관악구청","대학동","다목적",1,NA,"대학동"
"210","관악구청","신림로70길","다목적",1,"08755","신림동"
"211","관악구청","청룡4길","다목적",5,"08785","청룡동"
"212","관악구청","남부순환로246길","다목적",5,"08793","인헌동"
"213","관악구청","중앙길","다목적",4,"08743","중앙동"
"214","관악구청","난곡로35길","다목적",3,"08858","난곡동"
"215","관악구청","남현2길","다목적",4,"08804","남현동"
"216","관악구청","난향동","다목적",3,NA,"난향동"
"217","관악구청","난곡로42,GS슈퍼마켓부근","다목적",3,NA,NA
"218","관악구청","은천로69,은천초교부근","다목적",3,NA,NA
"219","관악구청","서림길","다목적",3,"08828","서림동"
"220","관악구청","남현6길","다목적",1,"08804","남현동"
"221","관악구청","양녕로2가길","다목적",5,"08747","중앙동"
"222","관악구청","신림로28길","다목적",4,"08838","서림동"
"223","관악구청","신림로18길","다목적",1,"08839","서림동"
"224","관악구청","난향3길","다목적",1,"08859","난향동"
"225","관악구청","남현4길","다목적",5,"08805","남현동"
"226","관악구청","남부순환로144길","다목적",1,"08771","미성동"
"227","관악구청","난우길","다목적",5,"08849","미성동"
"228","관악구청","난우12길","다목적",1,"08850","미성동"
"229","관악구청","미성길","다목적",1,"08866","미성동"
"230","관악구청","당곡길","다목적",1,"08710","보라매동"
"231","관악구청","보라매로38","다목적",2,NA,NA
"232","관악구청","봉천로275","다목적",4,NA,NA
"233","관악구청","관악로285","다목적",4,NA,NA
"234","관악구청","양녕로74,구암초교부근","다목적",4,NA,NA
"235","관악구청","문성로30길","다목적",1,"08843","신원동"
"236","관악구청","청림3길","다목적",1,"08732","청림동"
"237","관악구청","솔밭로21","다목적",3,NA,NA
"238","관악구청","봉천로497","다목적",1,NA,NA
"239","관악구청","행운1길","다목적",1,"08737","행운동"
"240","관악구청","은천로24길","다목적",5,"08747","중앙동"
"241","관악구청","호암로498","다목적",1,NA,NA
"242","관악구청","당곡2가길","다목적",3,"08710","보라매동"
"243","관악구청","청림5길","다목적",4,"08734","청림동"
"244","관악구청","남부순환로1761,남서울유치원부근","다목적",5,NA,NA
"245","관악구청","행운1라길","다목적",1,"08736","행운동"
"246","관악구청","은천로25길","다목적",4,"08729","성현동"
"247","관악구청","구암길","다목적",3,"08725","성현동"
"248","관악구청","청림5길","다목적",1,"08734","청림동"
"249","관악구청","광신길","다목적",1,"08848","삼성동"
"250","관악구청","호암로545,미림어린이집부근","다목적",4,NA,NA
"251","관악구청","양녕로2가길","다목적",5,"08747","중앙동"
"252","관악구청","난곡로35길","다목적",1,"08858","난곡동"
"253","관악구청","관악로461","다목적",4,NA,NA
"254","관악구청","낙성대역길","다목적",5,"08793","인헌동"
"255","관악구청","남부순환로256길","다목적",4,"08803","남현동"
"256","관악구청","남현2길","다목적",3,"08804","남현동"
"257","관악구청","봉천로505","다목적",4,NA,NA
"258","관악구청","행운1라길","다목적",3,"08736","행운동"
"259","관악구청","국회단지길","다목적",3,"08714","은천동"
"260","관악구청","청룡2길","다목적",4,"08785","청룡동"
"261","관악구청","참숯5길","다목적",5,"08829","청룡동"
"262","관악구청","문성로38라길","다목적",4,"08843","신원동"
"263","관악구청","대학7길","다목적",4,"08818","대학동"
"264","관악구청","낙성대로4길","다목적",5,"08790","낙성대동"
"265","관악구청","밤골길","다목적",5,"08848","삼성동"
"266","관악구청","광신길","다목적",3,"08848","삼성동"
"267","관악구청","난곡로186","다목적",3,NA,NA
"268","관악구청","난곡로25가길","다목적",3,"08858","난곡동"
"269","관악구청","법원단지2길","다목적",4,"08852","난곡동"
"270","관악구청","난우길","다목적",4,"08849","미성동"
"271","관악구청","광신길","다목적",1,"08848","삼성동"
"272","관악구청","당곡2가길","다목적",3,"08710","보라매동"
"273","관악구청","양녕로6나길","다목적",4,"08746","중앙동"
"274","관악구청","청림3길","다목적",4,"08732","청림동"
"275","관악구청","남부순환로151길","다목적",5,"08762","신사동"
"276","관악구청","양녕로6다길","다목적",4,"08746","중앙동"
"277","관악구청","청림3다길","다목적",4,"08732","청림동"
"278","관악구청","관악로125","다목적",4,NA,NA
"279","관악구청","낙성대동","다목적",4,NA,"낙성대동"
"280","관악구청","남부순환로260길","다목적",4,"08803","남현동"
"281","관악구청","관천로11길","다목적",5,"08762","신사동"
"282","관악구청","조원로2길","다목적",5,"08768","조원동"
"283","관악구청","남부순환로1455","다목적",4,NA,NA
"284","관악구청","난우10길","다목적",3,"08850","미성동"
"285","관악구청","미성길","다목적",3,"08866","미성동"
"286","관악구청","남부순환로170길","다목적",4,"08774","신원동"
"287","관악구청","난곡로178","다목적",4,NA,NA
"288","관악구청","신림동","다목적",4,NA,"신림동"
"289","관악구청","동광로49-31","다목적",5,NA,"동"
"290","관악구청","문성로212","다목적",4,NA,NA
"291","관악구청","문성로28길","다목적",4,"08842","신원동"
"292","관악구청","대학7길","다목적",5,"08818","대학동"
"293","관악구청","봉천로41길","다목적",5,"08748","중앙동"
"294","관악구청","신림동","다목적",3,NA,"신림동"
"295","관악구청","신림로28길","다목적",4,"08838","서림동"
"296","관악구청","복은길","다목적",5,"08835","서림동"
"297","관악구청","복은7길","다목적",4,"08835","서림동"
"298","관악구청","난곡로45길","다목적",4,"08864","미성동"
"299","관악구청","남부순환로144길","다목적",5,"08771","미성동"
"300","관악구청","문성로206","다목적",5,NA,NA
"301","관악구청","관악로14길","다목적",4,"08788","낙성대동"
"302","관악구청","남부순환로234길","다목적",5,"08789","낙성대동"
"303","관악구청","낙성대로12","다목적",1,NA,NA
"304","관악구청","청림6길","다목적",1,"08734","청림동"
"305","관악구청","법원단지21길","다목적",5,"08852","난곡동"
"306","관악구청","법원단지길","다목적",3,"08850","미성동"
"307","관악구청","법원단지22길","다목적",1,"08853","난곡동"
"308","관악구청","난곡로34다길","다목적",1,"08854","난곡동"
"309","관악구청","난곡로26나길","다목적",1,"08856","난곡동"
